LocationID,SensingDateTime,SensingDate,SensingTime,Direction_1,Direction_2,total_of_Directions
47,2023-06-05T11:24:00+10:00,2023-06-05,11:24,6,11,17
50,2023-06-05T11:24:00+10:00,2023-06-05,11:24,6,2,8
87,2023-06-05T11:24:00+10:00,2023-06-05,11:24,3,3,6
17,2023-06-05T11:24:00+10:00,2023-06-05,11:24,5,7,12
19,2023-06-05T11:24:00+10:00,2023-06-05,11:24,10,1,11
24,2023-06-05T11:24:00+10:00,2023-06-05,11:24,7,5,12
27,2023-06-05T11:24:00+10:00,2023-06-05,11:24,3,0,3
46,2023-06-05T11:24:00+10:00,2023-06-05,11:24,1,1,2
57,2023-06-05T11:24:00+10:00,2023-06-05,11:24,1,2,3
63,2023-06-05T11:24:00+10:00,2023-06-05,11:24,3,0,3
72,2023-06-05T11:24:00+10:00,2023-06-05,11:24,3,2,5
85,2023-06-05T11:24:00+10:00,2023-06-05,11:24,1,2,3
4,2023-06-05T11:23:00+10:00,2023-06-05,11:23,21,14,35
6,2023-06-05T11:23:00+10:00,2023-06-05,11:23,7,7,14
28,2023-06-05T11:23:00+10:00,2023-06-05,11:23,11,1,12
31,2023-06-05T11:23:00+10:00,2023-06-05,11:23,2,1,3
39,2023-06-05T11:23:00+10:00,2023-06-05,11:23,0,5,5
41,2023-06-05T11:23:00+10:00,2023-06-05,11:23,24,11,35
44,2023-06-05T11:23:00+10:00,2023-06-05,11:23,0,4,4
45,2023-06-05T11:23:00+10:00,2023-06-05,11:23,7,5,12
47,2023-06-05T11:23:00+10:00,2023-06-05,11:23,7,12,19
66,2023-06-05T11:23:00+10:00,2023-06-05,11:23,8,20,28
69,2023-06-05T11:23:00+10:00,2023-06-05,11:23,0,1,1
75,2023-06-05T11:23:00+10:00,2023-06-05,11:23,1,0,1
78,2023-06-05T11:23:00+10:00,2023-06-05,11:23,0,1,1
87,2023-06-05T11:23:00+10:00,2023-06-05,11:23,0,3,3
1,2023-06-05T11:23:00+10:00,2023-06-05,11:23,14,10,24
24,2023-06-05T11:23:00+10:00,2023-06-05,11:23,8,7,15
30,2023-06-05T11:23:00+10:00,2023-06-05,11:23,2,3,5
35,2023-06-05T11:23:00+10:00,2023-06-05,11:23,6,5,11
51,2023-06-05T11:23:00+10:00,2023-06-05,11:23,0,1,1
52,2023-06-05T11:23:00+10:00,2023-06-05,11:23,4,0,4
58,2023-06-05T11:23:00+10:00,2023-06-05,11:23,9,1,10
62,2023-06-05T11:23:00+10:00,2023-06-05,11:23,1,0,1
67,2023-06-05T11:23:00+10:00,2023-06-05,11:23,2,3,5
